# #JD, Flux, Err, Zp
2.459307797233799938e+06 1.441341251593599964e+02 3.400009362653420197e+01 2.644760000000000133e+01
2.459309809155100025e+06 1.872182950307530120e+02 3.351591054951010307e+01 2.626490000000000080e+01
2.459311733506899793e+06 6.198114264323550060e+01 2.738762964810679890e+01 2.607359999999999900e+01
2.459313755648099817e+06 1.410680741338950099e+02 2.715832870719750147e+01 2.618779999999999930e+01
2.459315776342600118e+06 5.263454073914950015e+01 3.007585607388159943e+01 2.458119999999999905e+01
2.459321770937500056e+06 1.007732220297340007e+02 2.490320579585599958e+01 2.625120000000000076e+01
2.459323778368100058e+06 1.579264280055290044e+02 3.735467012889599658e+01 2.624370000000000047e+01
2.459325825185200199e+06 1.563852873660459863e+02 5.057579849284059748e+01 2.625390000000000157e+01
2.459338812152800150e+06 7.098134171003130177e+01 3.547368878972349648e+01 2.618929999999999936e+01
2.459340728634300176e+06 1.015617368172840003e+02 2.648413602766279951e+01 2.623760000000000048e+01
2.459344754455999937e+06 1.082856973406960037e+02 2.141164041669319928e+01 2.623529999999999873e+01
2.459347678182899952e+06 9.468797863479780119e+01 2.350955846482990097e+01 2.622980000000000089e+01
2.459349710161999799e+06 6.650640968855439894e+01 2.958629113041849834e+01 2.620169999999999888e+01
2.459352708541700151e+06 2.550102012300609999e+01 4.711216740954869664e+01 2.620120000000000005e+01
2.459354679027799983e+06 1.387860439327029951e+02 5.913171339832680218e+01 2.626930000000000121e+01
2.459358753796299919e+06 -2.431703612617889831e+01 1.026284532178329982e+02 2.620429999999999993e+01
2.459361754166699946e+06 4.617796506815940205e+01 6.731813952299700077e+01 2.630140000000000100e+01
2.459363711608800106e+06 8.442223091308970595e+01 3.114617230322100028e+01 2.628500000000000014e+01
2.459365690937499981e+06 7.406954768229910258e+01 3.142645575520180046e+01 2.625199999999999889e+01
2.459369729618099984e+06 -1.111606959818699991e+01 3.291748705302840250e+01 2.618949999999999889e+01
2.459371691481499933e+06 4.893323248075780185e+01 2.992043049858499870e+01 2.625019999999999953e+01
2.459373757152799983e+06 4.806980429264090304e+01 3.488546348893900273e+01 2.613729999999999976e+01
2.459375687523100059e+06 1.252923937595950008e+02 3.843607439067900344e+01 2.625730000000000075e+01
2.459377686678200029e+06 1.179023992560039957e+01 3.001122466521080057e+01 2.628419999999999845e+01
2.459379708032399882e+06 5.692746925352680165e+01 2.860352875832489872e+01 2.626119999999999877e+01
2.459381779583299998e+06 1.468408354170439978e+01 5.225943309735610143e+01 2.443329999999999913e+01
