MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59015.423682,18.161,0.059,198,12,c,0,4.49,256.72750,30.27150,82.83,933.84,2.84,2.41,-58.3,-0.393,19.82,21.99,02a59015o0394c
59015.426911,18.569,0.078,136,10,c,0,6.34,256.72750,30.27150,62.43,893.21,2.86,2.43,-59.6,-0.398,19.84,21.98,02a59015o0401c
59015.432431,18.325,0.059,170,10,c,0,1.80,256.72750,30.27150,123.71,970.48,2.86,2.41,-57.5,-0.394,19.83,21.96,02a59015o0413c
59015.465999,18.084,0.046,212,10,c,0,2.49,256.72750,30.27150,139.03,849.99,2.72,2.36,-59.0,-0.404,19.83,21.97,02a59015o0484c
59017.420623,17.832,0.045,268,12,o,0,6.50,256.72750,30.27150,1812.70,1430.60,1.85,1.78,1.2,-0.428,19.76,21.06,01a59017o0394o
59017.423478,17.837,0.048,266,13,o,0,13.51,256.72750,30.27150,1833.49,1469.99,1.90,1.78,8.0,-0.427,19.71,21.00,01a59017o0400o
59017.433654,17.814,0.042,272,12,o,0,19.22,256.72750,30.27150,1777.46,1390.41,1.89,1.82,8.0,-0.432,19.82,21.03,01a59017o0421o
59017.442083,17.798,0.040,276,11,o,0,7.40,256.72750,30.27150,1762.19,1506.13,1.97,1.84,5.3,-0.427,19.72,21.03,01a59017o0438o
59021.419780,18.119,0.051,205,10,o,0,7.31,256.72750,30.27150,1817.85,1427.50,2.06,1.86,-0.6,-0.407,19.77,21.14,01a59021o0376o
59021.426357,18.025,0.047,224,11,o,0,6.17,256.72750,30.27150,1838.56,1466.29,2.03,1.85,1.6,-0.403,19.73,21.12,01a59021o0390o
59021.429598,18.258,0.068,181,12,o,0,2.90,256.72750,30.27150,1780.99,1387.76,2.02,1.84,4.3,-0.417,19.78,21.12,01a59021o0397o
59021.465937,18.112,0.044,207,9,o,0,8.63,256.72750,30.27150,1773.09,1499.06,2.14,1.87,-0.8,-0.399,19.68,20.90,01a59021o0471o
59023.420077,18.756,0.082,114,9,c,0,2.51,256.72750,30.27150,5719.10,5249.98,2.36,2.26,41.9,-0.405,19.88,21.97,02a59023o0361c
59023.434238,18.930,0.079,97,8,c,0,5.01,256.72750,30.27150,5701.23,5209.43,2.39,2.25,44.8,-0.406,19.86,21.92,02a59023o0388c
59023.462130,18.538,0.067,140,9,c,0,3.63,256.72750,30.27150,5751.85,5287.84,2.68,2.42,40.5,-0.396,19.74,21.93,02a59023o0445c
59023.472698,19.019,0.100,90,9,c,0,4.46,256.72750,30.27150,5775.33,5171.76,2.69,2.42,42.7,-0.399,19.68,21.80,02a59023o0466c
59025.381393,18.272,0.058,178,10,o,0,14.35,256.72750,30.27150,7335.26,7696.14,1.93,1.74,10.2,-0.406,19.92,21.37,01a59025o0244o
59025.397395,18.240,0.049,184,9,o,0,13.51,256.72750,30.27150,7360.78,7733.98,1.87,1.78,16.6,-0.415,19.92,21.34,01a59025o0277o
59025.400549,18.148,0.050,200,10,o,0,16.63,256.72750,30.27150,7300.94,7656.40,1.89,1.80,26.8,-0.411,19.96,21.34,01a59025o0283o
59025.412409,18.259,0.056,180,10,o,0,8.53,256.72750,30.27150,7286.93,7772.30,1.90,1.82,38.3,-0.418,19.89,21.35,01a59025o0308o
59027.400348,19.005,0.109,91,10,c,0,3.18,256.72750,30.27150,6773.92,9234.45,2.59,2.56,-66.9,-0.402,19.79,21.67,02a59027o0323c
59027.403180,19.772,0.214,45,10,c,0,3.31,256.72750,30.27150,6756.09,9196.39,2.66,2.57,-52.1,-0.403,19.76,21.72,02a59027o0329c
59027.438715,19.145,0.126,80,10,c,0,1.92,256.72750,30.27150,6805.62,9274.49,2.76,2.68,-61.6,-0.394,19.79,22.04,02a59027o0403c
