mjd,f,ef,band
58285.39326390019,-7.767548763090919,3.262079730788284,ztfr
58286.26656250004,-3.3854772247551432,3.2534211274016913,ztfg
58286.3126968001,-2.566488884581284,3.5160668366598116,ztfr
58286.3177546002,-7.639292838006613,3.9055114212704094,ztfr
58286.410439800005,-2.014188863722472,3.3852665587258377,ztfg
58287.269814800005,4.1290769900386435,4.035653553942672,ztfr
58287.27605320001,-0.37981357130877025,3.960283291785849,ztfr
58287.34052080009,0.45215184950121334,3.226140003058317,ztfg
58287.34145830013,1.322191424290752,2.787826657677134,ztfg
58288.289537000004,-7.930685086530163,3.548195221328382,ztfr
58288.29960650019,-9.727290071971465,4.000176170281039,ztfr
58288.31686339993,2.0584653346262627,3.72170594694745,ztfr
58288.35290510021,-4.471022674176993,2.9108458650266162,ztfg
58288.36952550011,4.380582674789044,3.7188747955076322,ztfg
58288.382083300035,0.4084526609711834,3.7187267018742793,ztfg
58289.24451390002,0.0475463646622484,4.322063675488124,ztfr
58289.26707179984,1.8292521750095976,4.3234044303087185,ztfr
58289.35959490016,-0.4968645170450578,3.7595941194071094,ztfg
58289.381435200106,3.410220841451757,4.2540203057361,ztfg
58289.39997689985,-10.567803910353321,5.947867553881937,ztfg
58290.17672450002,8.556030174722753,10.068070666490504,ztfi
58290.208159700036,-1.6347740916150264,4.795577516447064,ztfg
58290.21306709992,-2.5175897304444645,4.584570206942845,ztfg
58290.21586810006,-5.604128357936773,5.125168885267906,ztfg
58290.23641199991,-4.555157856657963,4.546121888618643,ztfg
58290.32547450019,-3.386848904467557,6.205270214487284,ztfr
58290.33915509982,1.9385777170447729,4.85692863735537,ztfr
58290.36862270022,-7.935951396972222,3.9970766065151837,ztfr
58290.36954860017,-3.940189723609929,3.656399230231119,ztfr
58291.29119209992,0.10965755573793103,5.174277102110452,ztfr
58291.29832179984,-3.2330501195275114,5.670357920866935,ztfr
58291.32946760021,-1.4890164285540521,4.979930981651972,ztfr
58291.33834489994,-4.303603264237908,4.476039508892579,ztfg
58292.2171180998,-1.068646499993207,5.422483350002673,ztfg
58292.27280090004,3.199694941190027,5.813591555847487,ztfr
58292.295925899874,2.6528124837259464,5.770676633737057,ztfr
58292.31739579979,9.683708696708923,6.180445687708987,ztfr
58292.35219909996,-7.090526743279452,5.160670979515635,ztfg
58293.20603010012,0.8444297772446518,7.329290665996032,ztfg
58293.229583300184,-8.075422938173613,6.465830745983108,ztfg
58293.2528241002,-11.876460928137218,6.0064717414412,ztfr
58293.25376159977,-2.284658117951737,6.5527986637413,ztfr
58293.27339120023,-6.517559502611333,6.937945682974067,ztfr
58293.3433333002,5.097029432356397,5.62038257908025,ztfg
58293.344270799775,-5.606464097795289,5.480917734134218,ztfg
58294.1940394002,0.5289918617571266,7.113484694553845,ztfg
58294.213506899774,3.1315217332268954,6.26898929267667,ztfg
58294.3073148001,-5.188755475685619,7.363893799823436,ztfr
58294.30925930012,0.489701532160364,6.434736894187807,ztfr
58294.30971059995,2.6904702873779454,6.622247897500361,ztfr
58294.31862269994,2.4044987307829695,7.455495473830324,ztfr
58294.34144680016,-9.862245532026527,10.956642244565291,ztfi
58294.36538190022,1.505120147502325,7.322241619114323,ztfg
58297.23458330007,5.743601567381236,9.25429582887511,ztfg
58297.23550930014,3.3835697328690455,10.197436410429448,ztfg
58297.29487269977,-14.254405200537882,13.092081313413011,ztfr
58297.3329977002,24.309516153330563,12.970490225762331,ztfr
58297.3474653,-4.347413336156435,12.058497402491499,ztfr
58298.192743100226,-3.2759962158726488,7.991127436451111,ztfg
58298.21219909983,5.4397743956876115,7.333656016314901,ztfg
58298.245185200125,1.5567510443997294,7.572562114032029,ztfg
58298.276979200076,-8.775901563844979,8.888209640454976,ztfr
58298.2942476999,-6.170040096360546,12.233361645521756,ztfr
58298.31770829996,-20.144634958361745,11.133303317554875,ztfr
58299.19361109985,-0.9139478857983747,5.43965277443833,ztfg
58299.21381939994,5.257456720613541,6.2798699460490734,ztfg
58299.312395799905,7.729176343795507,13.596441376134543,ztfi
58299.335462999996,13.113422660187084,14.022676037841455,ztfr
58299.37175930012,9.228400870740998,11.702010282038088,ztfr
58299.37947920011,-15.599566509080207,12.848995613022264,ztfr
58300.20798610011,2.7116066515049573,3.3333032425144613,ztfg
58300.213414399885,0.4563042617572414,3.6719810958315717,ztfg
58300.21434029983,1.3083118003051448,3.7206929828999638,ztfg
58300.299050900154,3.2329286560834514,6.055391373106639,ztfg
58300.331817099825,-1.186026589019749,7.479595409592412,ztfr
58300.35199069977,-6.197678825977489,7.542840836429437,ztfr
58300.353437500075,-7.808225302101998,7.513670099581795,ztfr
58300.38246530015,-4.91330920840127,8.499007690351055,ztfr
58301.187326400075,-7.110879617626493,6.289307721849383,ztfr
58301.19644680014,-0.16744339975135275,4.7472471467810795,ztfr
58301.20835650014,2.5233918755273628,4.108322048453692,ztfr
58301.27108799992,-0.3010727200976955,4.422381193306775,ztfg
58301.27607640019,-1.5527086641974337,5.243487012208077,ztfg
58301.300786999986,-5.113336171998097,6.09290464071419,ztfg
58301.36164350016,-2.5982686465887657,7.863312143556273,ztfr
58302.20549769979,0.4304652237437522,4.828716869402464,ztfg
58302.21457180008,-2.6757888904027856,3.8965535141579335,ztfg
58302.298472200055,12.612709756232201,13.15317839752162,ztfr
58302.35186340008,5.608808958759649,14.198656844405347,ztfr
58303.30034720013,6.870651348969406,4.851450374258817,ztfr
58303.30128470017,-4.1951038773192115,4.155512275562761,ztfr
58303.31745370012,8.517572438678991,4.857704626325692,ztfr
58303.35289350012,-0.46195054290346527,4.709842216375037,ztfr
58304.208726900164,0.5424415073844414,2.626673051236808,ztfg
58304.226666700095,2.9912003784579224,2.5724990615844003,ztfg
58304.309733800124,-4.154163222656386,2.930531952978957,ztfg
58304.33160880022,-2.5778037444901987,4.75992122152861,ztfr
58304.338009300176,-2.9692347916067,4.146710610822855,ztfr
58304.37304400001,-0.6722288354151542,4.67819416450729,ztfr
58305.20858799992,-3.4395448338887573,3.2864503285867435,ztfg
58305.214213000145,7.704080750733126,3.2773052022155333,ztfg
58305.299050900154,-4.9369836327748855,3.499783410924609,ztfg
58305.33833329985,7.7820383509092315,4.736162522971353,ztfr
58305.360104199965,3.2982807006073473,6.480206938766737,ztfr
58306.20343750017,6.887271784536112,4.770051941599956,ztfr
58306.20436340012,5.01975399940039,4.433617673053624,ztfr
58306.29997690022,4.722157821144534,5.112386774177919,ztfg
58306.33296300005,6.466051960631867,4.7971300176783735,ztfg
58307.195717600174,-5.046605601938532,3.862636644748189,ztfr
58307.21305559995,-2.4375609533760247,2.9486340182805897,ztfg
58307.23431710014,1.3991750457729222,3.0181367428506922,ztfg
58307.362094900105,-8.515085046282842,4.632685864134988,ztfr
58308.18349540001,-42.57415664724105,15.276547840457445,ztfi
