# Template No.           5: sn1992H (IIP; +12) ; z= 0.037 +/- 0.007
#redshifted_wavelength[A] flux[arbitraty]
   5661.75586       1.07984054    
   5669.42578       1.07918382    
   5677.10693       1.07772171    
   5684.79785       1.07563889    
   5692.49902       1.07325089    
   5700.21094       1.07095957    
   5707.93262       1.06917262    
   5715.66504       1.06820560    
   5723.40820       1.06819427    
   5731.16260       1.06904304    
   5738.92627       1.07042909    
   5746.70068       1.07186532    
   5754.48584       1.07281089    
   5762.28223       1.07279873    
   5770.08838       1.07154882    
   5777.90527       1.06903172    
   5785.73291       1.06546557    
   5793.57080       1.06124830    
   5801.41943       1.05683863    
   5809.27832       1.05262518    
   5817.14844       1.04882193    
   5825.02930       1.04542208    
   5832.92090       1.04222941    
   5840.82227       1.03895795    
   5848.73438       1.03537083    
   5856.65869       1.03141797    
   5864.59229       1.02732456    
   5872.53711       1.02359962    
   5880.49316       1.02095258    
   5888.45898       1.02013791    
   5896.43652       1.02176476    
   5904.42432       1.02612936    
   5912.42334       1.03311920    
   5920.43311       1.04222119    
   5928.45410       1.05263913    
   5936.48535       1.06348956    
   5944.52734       1.07402229    
   5952.58105       1.08380258    
   5960.64453       1.09279549    
   5968.71924       1.10132587    
   5976.80566       1.10991693    
   5984.90234       1.11905301    
   5993.00977       1.12893391    
   6001.12891       1.13929951    
   6009.25879       1.14938402    
   6017.39990       1.15802526    
   6025.55176       1.16391683    
   6033.71484       1.16593528    
   6041.88867       1.16346371    
   6050.07324       1.15661526    
   6058.27002       1.14629066    
   6066.47705       1.13404453    
   6074.69531       1.12178254    
   6082.92529       1.11136591    
   6091.16602       1.10421729    
   6099.41748       1.10103214    
   6107.68066       1.10166764    
   6115.95459       1.10523546    
   6124.24023       1.11036909    
   6132.53662       1.11559355    
   6140.84473       1.11969244    
   6149.16357       1.12197995    
   6157.49414       1.12240541    
   6165.83545       1.12147748    
   6174.18896       1.12003756    
   6182.55273       1.11896098    
   6190.92871       1.11887753    
   6199.31592       1.11999500    
   6207.71387       1.12207282    
   6216.12354       1.12454438    
   6224.54443       1.12674105    
   6232.97705       1.12813997    
   6241.42090       1.12854898    
   6249.87646       1.12817180    
   6258.34375       1.12752903    
   6266.82178       1.12726343    
   6275.31152       1.12789762    
   6283.81299       1.12962317    
   6292.32568       1.13219833    
   6300.85010       1.13498962    
   6309.38574       1.13714838    
   6317.93311       1.13786840    
   6326.49268       1.13663948    
   6335.06299       1.13341427    
   6343.64551       1.12862968    
   6352.23926       1.12307167    
   6360.84473       1.11762643    
   6369.46191       1.11299574    
   6378.09033       1.10947609    
   6386.73145       1.10687590    
   6395.38330       1.10460985    
   6404.04736       1.10194242    
   6412.72266       1.09830737    
   6421.41064       1.09359562    
   6430.10938       1.08830500    
   6438.82129       1.08348763    
   6447.54346       1.08049142    
